Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Pronation for Running Shoes,Arch Type,Cushioning,Running Type,Distance,Surface Type,Number of Items,Package Contains,Warranty,Technology
Action,Kids Mesh Running Non-Marking Sports Shoes,₹1333,MRP ₹2299,(42% OFF),4.2,85 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,Medium,Outdoor,,,,Air Max
Action,Kids Mesh Running Non-Marking Sports Shoes,₹1333,MRP ₹2299,(42% OFF),4.2,85 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,Medium,Outdoor,,,,Air Max
ABROS,Boys Winston-N Running Sports Shoes,₹1029,MRP ₹1119,(8% OFF),4.3,60 Ratings,"A pair of navy blue running shoes, has mid-top Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,2,,3 months,Air
Pantaloons Junior,Boys White Running Non-Marking Shoes,₹959,MRP ₹1199,(20% OFF),4.3,12 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
IMPAKTO,Kids Printed Walking Shoes,₹899,MRP ₹999,(10% OFF),3.8,5 Ratings,"A pair of olive green, black shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,Road Running,Medium,Outdoor,2,,30 days,
Pantaloons Junior,Boys Black Walking Non-Marking Shoes,₹789,MRP ₹999,(21% OFF),3.7,10 Ratings,"A pair of black shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
ASIAN,Boys Running Non-Marking Memory Foam Technology Sports Shoes YODHA-04cLGRYPGRN-2,₹779,MRP ₹1199,(35% OFF),4.2,53 Ratings,"A pair of Memory Foam Technology sports shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
VAN Number: YODHA-04cLGRYPGRN-2
Warranty: 28 days
Warranty provided by seller/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
JQR,Kids KIDS-403 Mesh l-EVA Running Shoes,₹629,MRP ₹699,(10% OFF),4.5,6 Ratings,"A pair of black & white shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer
Technology : I -EVA",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,High,Road Running,Medium,Outdoor,2,,30 days,l-EVA
BERSACHE,Boys Running Non-Marking Shoes,₹689,MRP ₹3999,(Rs. 3310 OFF),3.5,15 Ratings,"A pair of pink shoes, has regular Styling
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Canvas,Velcro,Regular,Non-Marking,No Cleats,,,Low,,,Outdoor,1,package contains,,
Sparx,Boys Mesh Running Shoes,₹879,MRP ₹1099,(20% OFF),4.8,5 Ratings,"A pair of grey & pink shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,Air
Sparx,Boys Mesh Running Shoes,₹1119,MRP ₹1399,(20% OFF),4,27 Ratings,"A pair of purple shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,Air
Lil Lollipop,Girls Laced Up Running Shoes,₹1183,MRP ₹1690,(30% OFF),4.8,6 Ratings,"A pair of black & blue & pink shoes, has regular Styling, lace-ups detail
Synthetic Upper
Cushioned footbed
Textured and patterned outsole",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,,Medium,Long Distance,,Outdoor,2,,,
Pantaloons Junior,Boys Beige Textile Walking Non-Marking Shoes,₹764,MRP ₹899,(15% OFF),4.3,15 Ratings,"A pair of beige shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Textile,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,Road Running,,Outdoor,,,,
Pantaloons Junior,Boys Blue Textile Running Non-Marking Shoes,₹959,MRP ₹1199,(20% OFF),3.7,13 Ratings,"A pair of blue shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
ABROS,Boys Oscar Running Sports Shoes,₹1029,MRP ₹1119,(8% OFF),4.5,31 Ratings,"A pair of blue shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Mid-Top,Marking,No Cleats,Neutral,Medium,High,Trail Running,Medium,All-Rounder,2,,30 days,Air
Pantaloons Junior,Girls Blue Mesh Running Non-Marking Shoes,₹719,MRP ₹899,(20% OFF),3.4,14 Ratings,"A pair of blue shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Mesh,Velcro,Mid-Top,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Pantaloons Junior,Boys Teal Textile Running Non-Marking Shoes,₹1139,MRP ₹1199,(5% OFF),3.7,7 Ratings,"A pair of teal running shoes, has regular Styling, slip-on detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Running,Textile,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Pantaloons Junior,Boys Blue Striped Running Shoes,₹759,MRP ₹799,(5% OFF),4.6,15 Ratings,"A pair of blue striped walking shoes, has regular Styling, slip-on detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Running,Textile,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Puma,Unisex Kids Solid Twitch Mermaid Youth Running Shoes,₹3374,MRP ₹4499,(25% OFF),4.5,21 Ratings,"Special Technology:
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel.
Product Design Details:
A pair of black and pink running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned rubber outsole
Net mesh on the quarter
CMEVA midsole
Progressive look
Iridescent PUMA Formstrip with mermaid pattern on both sides
PUMA Wordmark label on tongue
PUMA Youth: Recommended for older kids between 8 and 16 years
Warranty: 3 months
Warranty to be provided by the brand/manufacturer
About The Product:
Let your inner mermaid shine with this all-new edition of the Twitch Runner: the iridescent, scale-print PUMA Formstrip is a guaranteed show-stopper. These sneakers are built to be breathable with great traction, so they're ready to keep up with you, every step of your day.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Road Running,,All-Rounder,,,3 months,
Nike,Kids Flex Runner 2 Older Running Shoes,₹2097,MRP ₹3495,(40% OFF),2.9,29 Ratings,"SPECIAL TECHNOLOGIES:
Easy On, Easy Fit: A stretchy bootie design makes it easy to slip your foot in with a snug and secure feel. A heel strap and leather on the sides stabilise your fit.
Fast Steps: The flexible foam sole is designed with deep grooves, so every step and stride feels secure while running. The sole's pattern also helps with multi-surface traction.
Steady Feel: The back of the shoe features foam that creates a wing-like shape around the heel for extra stability when moving in different directions.
Breathable fabric on the front of the shoe is lightweight and helps keep feet cool.
Toe tip is reinforced with extra durability for toe draggers.
Pull tabs on the heel and tongue help you get the shoe on and off.

PRODUCT DESIGN DETAILS:
A pair of round toe navy blue running shoe, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
ABOUT THE PRODUCT:

Running shoes made easy! The Nike Flex Runner 2 is for the kid on the go who loves to play all dayfrom gym class to a sprint down the block. They're lace-free, meaning they're super-quick to slip on and off. Who's ready to race?",Running,Mesh,Velcro,Mid-Top,Marking,No Cleats,,Medium,Medium,,,Outdoor,2,,,
Nike,Jr. Phantom Luna 2 Club Football Boot Unisex Kids Mid-Top Lace Up Football Boot,₹4495,MRP ₹4995,(10% OFF),3.7,12 Ratings,"Whether you're starting out or just playing for fun, the Club boot gets you on the pitch without compromising on quality. Created with goals in mind, the Jr. Phantom Luna 2 Club has a grippy texture covering the striking area of the boot and reliable traction to help guide your unscripted agility.",Football,Leather,Lace-Ups,Mid-Top,Marking,Fixed,,,Medium,,,Outdoor,2,,,
Nike,Jr. Phantom GX 2 Club Football Boot,₹4045,MRP ₹4495,(10% OFF),4.3,6 Ratings,"Whether you're starting out or just playing for fun, Club shoes get you on the pitch without compromising on quality. Created with goals in mind, the Jr. Phantom GX 2 Club has a grippy texture covering the striking area of the shoe and reliable traction to help guide your unscripted agility.",Football,Leather,Lace-Ups,Mid-Top,Marking,Fixed,,,Medium,,,Outdoor,2,,,
Puma,ATTACANTO FG/AG Youth Football Boots,₹2099,MRP ₹2999,(30% OFF),4.4,8 Ratings,"Product Design Details:
A pair of blue solid round toe with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,2,,3 months,
Puma,Kids ATTACANTO FG/AG Youth Football Boots,₹2099,MRP ₹2999,(30% OFF),4.4,56 Ratings,"SPECIAL TECHNOLOGIES:
Lightweight TPU outsole suitable for use on natural and synthetic grass.

PRODUCT DESIGN DETAILS:
A pair of lime green, black printed detail round toe football shoes with regular styling has a lace up closure
Synthetic upper
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Low boot
Synthetic upper with soft lining that shapes to the foot
FG/AG: Firm ground/Artificial ground
PUMA Youth: Recommended for older kids between 8 and 16 years - for junior styles
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer

PRODUCT STORY:
A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,2,,3 months,
Puma,Boys EvoSpeed V2 Youth Cricket Shoes,₹2799,MRP ₹3499,(20% OFF),4.5,218 Ratings,"PRODUCT DESIGN DETAILS:
A pair of round toe white,orange and lime green cricket shoes,has regular styling
Lace-up detail
Synthetic & Mesh Upper provides breathability & durabilty
Cushioned footbed
Textured and patterned outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Low boot construction with lace closure
PUMA Logo, Rubber Outsole for traction
Warranty: 3 months
Warranty provided by brand/manufacturer

PRODUCT STORY :
Look fantastic with the PUMA EvoSpeed V2 Cricket Youth Shoes an all season favorite , perfect for leisure.",Cricket,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,All-Rounder,,,3 months,
Nike,Flex Runner 3 Older Kids' Road Running Shoes,₹3235,MRP ₹3595,(10% OFF),4.3,20 Ratings,"Running shoes made easy! Made for kids who love to play all day, the Nike Flex Runner 3 pairs a stretchy bootie design with a flexible outsole and grippy traction. No laces mean they're super quick to slip on and off. So, who's ready to race?",Running,Leather,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,Outdoor,2,,,
Nike,Flex Runner 3 Older Kids' Road Running Shoes FN1294-003,₹2516,MRP ₹3595,(30% OFF),4.3,20 Ratings,"PRODUCT DESIGN DETAILS :
A pair of cream with logo printed detail round toe sports shoes with regular styling has a lace-up closure
Leather upper
Cushioned footbed
PU outsole
ABOUT THE PRODUCT : 
Running shoes made easy! Made for kids who love to play all day, the Nike Flex Runner 3 pairs a stretchy bootie design with a flexible outsole and grippy traction. No laces mean they're super quick to slip on and off. So, who's ready to race?",Running,Leather,Slip-On,Mid-Top,Non-Marking,No Cleats,,Medium,Medium,Road Running,Medium,Outdoor,2,,,
Puma,Unisex Kids Black Textile Running Shoes,₹3149,MRP ₹4499,(30% OFF),4.6,139 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,Long Distance,Long,All-Rounder,,,3 months,
Puma,Kids ULTRA PLAY IT Jr Football Shoes,₹3199,MRP ₹3999,(20% OFF),4.5,11 Ratings,"FEATURES & BENEFITS:
ULTRA PLAY technology
PRODUCT DESIGN DETAILS:
A pair of blue,green and white self design with brand logo printed details round toe sports shoes with regular styling has a lace up closure
Lightweight PU upper
Cushioned footbed
Rubber indoor outsole
Regular tongue construction
Regular to narrow fit
IT: Indoor training outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer
PRODUCT STORY:

Just when they think you couldnt get any faster, you do. The ULTRA PLAY takes its signature speed and acceleration to the next level.",Football,PU,Lace-Ups,Regular,Marking,Fixed,,,Medium,,Medium,Outdoor,2,,3 months,
Puma,Kids Flyer Flex Running Shoes,₹2519,MRP ₹3499,(28% OFF),4.4,174 Ratings,"FEATURES & BENEFITS :
CMEVA: PUMA's compression-moulded EVA material for lightweight performance,
PRODUCT DESIGN DETAILS:
A pair of navy-blue and white textured round toe regular sports shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Low boot
Tooling features a bold new silhouette with full-length flex grooves
Upper features PUMA Formstrip branding with a printed outline
EVA midsole
Rubber coverage in heel and toe provide outsole durability and traction
Heel and eyestay overlays
PUMA Formstrip on lateral side
PUMA Youth style: Recommended for older kids between 8 and 16 years.
Warranty: 3 Months
Warranty provided by brand/manufacturer
PRODUCT STORY:

These trainers, a continuation of the wildly successful Flyer Runner Platform, bring a totally new look and feel. Let's start with the tooling, with its bold new silhouette and full-length flex grooves. Then there's the rubber coverage in the heel and toe, which gives outstanding durability and grip. And lastly there's the bold PUMA branding on the heel and PUMA Formstrip as a printed outline, which gives these shoes a look that is sure to get attention",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,,,Medium,Road Running,Medium,All-Rounder,2,,3 months,
Puma,Unisex Kids Black Monarch II IT Football Shoes,₹2699,MRP ₹2999,(10% OFF),4.5,15 Ratings,"Design Details:
A pair of black football shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Low boot
Regular fit
Soft yet durable synthetic leather on upper
Low-profile non-marking rubber outsole
IT: Indoor Training
Regular tongue construction fits various foot shapes
Classical deco stitch pattern on vamp
PUMA Cat Logo on tongue and outsole
PUMA Formstrip on lateral side
Warranty: 3 months
Warranty provided by brand/manufacturer
About Monarch II IT Jr Youth Indoor Trainers: Low maintenance? Yep. Classic design? Yep. The new Monarch II Jr is ideal for any young player who wants a pair of footie boots that won't let him or her down. Combining comfort and longevity, they feature soft yet highly durable synthetic leather, not to mention a deco stitch pattern in the vamp that is reminiscent of the legendary PUMA King. The non-marking rubber outsole is suitable for any indoor surface.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,Long Distance,Long,All-Rounder,,,3 months,
BAESD,Kids Water Repellent Upper Lace-Up Running Shoes,₹543,MRP ₹1599,(66% OFF),3.5,20 Ratings,"A pair of round toe white ,navy blue & red shoes ,has regular styling,
Lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned rubber outsole
Water Repellent Upper",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,Long Distance,Medium,All-Rounder,2,,,
BAESD,Kids Water Repellent Upper Lace-Up Running Shoes,₹543,MRP ₹1599,(66% OFF),4.1,28 Ratings,"A pair of round toe white ,grey & red shoes ,has regular styling,
Lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned rubber outsole
Water Repellent Upper",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Medium,All-Rounder,2,,,
ABROS,Kids Shooter Walking Sports Shoes,₹507,MRP ₹529,(4% OFF),3.9,27 Ratings,"A pair of navy blue shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Velcro,Mid-Top,Marking,Fixed,Neutral,High,High,Track,Medium,All-Rounder,2,,30 days,Air
ABROS,Kids Cole-O Walking Sports Shoes,₹334,MRP ₹669,(50% OFF),3.4,14 Ratings,"A pair of charcoal shoes, has regular Styling, slip-on detail
Upper Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
max,Girls Slip On Walking Shoes,₹539,MRP ₹599,(10% OFF),4.4,24 Ratings,"A pair of orange and white sports shoes, has regular styling, slip-on detail
PU upper
Cushioned footbed
Textured and patterned outsole",Walking,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
ABROS,Kids Spink Walking Sports Shoes,₹507,MRP ₹529,(4% OFF),4.5,34 Ratings,"A pair of navy blue shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Velcro,Mid-Top,Marking,Fixed,Neutral,High,High,Track,Medium,All-Rounder,2,,30 days,Air
toothless,Boys Black Marvel Avengers Print Walking Shoes,₹449,MRP ₹1499,(70% OFF),3.9,13 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Walking,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,,,,
Puma,Kids Softride Enzo Nxt Youth Running Shoes,₹2789,MRP ₹4499,(38% OFF),4.4,22 Ratings,"FEATURES & BENEFITS:
CMEVA: PUMA's compression-moulded EVA material
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort
PRODUCT DESIGN DETAILS:
A pair of navy blue and white brand logo printed details round toe sports shoes with regular styling has a lace up closure
Synthetic upper
Cushioned footbed
Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 12 mm
Bootie construction for easy entry
TPU eyestay
Moulded synthetic midfoot cage for optimum fit
Cushioned midsole with EVA material
Rubber zones on heel and toe for outsole grip
PUMA Cat Logo on tongue and lateral toe
PUMA Wordmark on gore strap
Warranty: 3 months
Warranty provided by brand/manufacturer
PRODUCT STORY:

Stand out from the pack in PUMA's Softride Enzo NXT Trainers. Pairing two of PUMA's key franchises Softride and Enzo this fresh model provides maximum cushioning and all-day comfort",Running,Synthetic,Lace-Ups,Mid-Top,Marking,No Cleats,,,Medium,Road Running,Medium,Outdoor,2,,3 months,
Nike,Star Runner 4 Older Kids' Road Running Shoes,₹2757,MRP ₹4595,(40% OFF),3.6,18 Ratings,"Because ice-cream vans, games of tig and races to the end of the street and back can only wait for so long, we made it easy for you to slip the Star Runner on and get going. Soft cushioning in the midsole provides a comfortable, springy feel so every skip, hop and stride you take is one closer to the finishing line. The tread grabs at pavement, grass and gravel to give you extra grip while a rubber-wrapped toe toughens up the construction so you can go further in the same pair of Star Runners.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,Outdoor,2,,,
Puma,Kids Ultra Play Football Shoes,₹3399,MRP ₹3999,(15% OFF),4.3,46 Ratings,"Features:
A pair of orange football shoes, has regular Styling, lace-ups detail
Lightweight PU upper
Cushioned footbed
Regular tongue construction
Low-profile multi-studded rubber outsole
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand owner/Manufacturer
About the shoes:
Turn seconds into records with the ULTRA Play football boot. It features a lightweight synthetic upper fused to a turf training outsole that ensures optimal traction and propulsion. Not even you knew you could be this fast.",Football,PU,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Long Distance,Long,Turf Trainer,,,3 months,
one8 x PUMA,Kids Softride Premier Walking Shoes,₹3499,MRP ₹4999,(30% OFF),4.5,33 Ratings,"Special Technology
SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day
IMEVA: PUMA's material for a lightweight and comfortable feel.
Product Design Details
A pair of grey shoes, has regular styling, lace-ups detail
Low boot
Mesh upper with slip-on construction
SoftFoam+ sockliner
IMEVA midsole
Comfortable Softride foam
Rubber outsole
PUMA Wordmark at lateral side
PUMA Cat Logo at toe, tongue and heel
PUMA Youth style: Recommended for older kids between 8 and 16 years
Warranty: 3 months against manufacturing defects only
Warranty provided by the brand owner/manufacturer
About the shoe
Introducing our new slip-on Softride, with triple cushioning technology for the softest ride ever. A SoftFoam+ sockliner, IMEVA midsole and Softride foam combine to create an ultra-light, impact-absorbing shoe. And it all comes packaged in an up-to-the-minute design, with sweeping lines, a sleek lace-free construction and attention-grabbing PUMA branding at the side.",Walking,Textile,Lace-Ups,Regular,Marking,No Cleats,,Flat,Medium,,,All-Rounder,,,3 months,
Puma,PUMA Black Wired Run Slip-On Kid's Shoes,₹2879,MRP ₹2999,(4% OFF),4.6,33 Ratings,"A pair of black running shoes, has regular Styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand/ manufacturer

FEATURES & BENEFITS : CMEVA: PUMA's compression-moulded EVA material for lightweight performance, SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day

DETAILS : Updated upper, SoftFoam+ sockliner, EVA midsole, Rubber outsole, Slip-on construction, Textile tongue, PUMA Kids style: Recommended for young kids between 4 and 8 years",Running,Mesh,Slip-On,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,Outdoor,,,3 months,
Puma,Kids ULTRA PLAY FG/AG Jr Football Shoes,₹3399,MRP ₹3999,(15% OFF),4.3,13 Ratings,"FEATURES & BENEFITS:
TPU SPEEDPLATE outsole
Lightweight Dynamic Motion System outsole 

PRODUCT DESIGN DETAILS:
A pair of blue and green logo printed detail round toe sports shoes with regular styling has a lace-up closure
Lightweight PU upper
Cushioned footbed
TPU outsole
Regular tongue construction fits various foot shapes.
Suitable for use on both firm natural surfaces and artificial grass (4G)
FG/AG: Firm Ground/Artificial Ground
Regular to narrow fit
Warranty: 3 months
Warranty provided by brand/manufacturer
PRODUCT STORY:

Just when they think you couldnt get any faster you do. The ULTRA PLAY takes its signature speed and acceleration to the next level. Fused to a running spike-inspired TPU SPEEDPLATE makes it official: ULTRA is Too Fast for Them",Football,PU,Lace-Ups,Regular,Marking,Fixed,,,Medium,,Medium,Outdoor,2,,3 months,
Puma,Kids Transport Block Youth Running Shoes,₹3249,MRP ₹4999,(35% OFF),4.9,8 Ratings,"Special Technology
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel.
Product Design Details
A pair of black shoes, has regular styling, lace-ups detail
Stylish, lightweight upper
CMEVA midsole
Rubber outsole
PUMA Formstrip on medial and lateral sides
PUMA Cat Logo label on tongue
PUMA Youth: Recommended for older kids between 8 and 16 years
Warranty: 3 months against manufacturing defects only
Warranty provided by the brand owner/manufacturer
About the shoe
Whether you want to go for a quick run or you're out and about around town, these slick sneakers have got your back. They offer extra traction, plus a sporty look that's easy to pair with any casual outfit, thanks to the mesh upper and bold tooling.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Road Running,,All-Rounder,,,3 months,
Puma,Kids ATTACANTO FG/AG Youth Football Shoes,₹2449,MRP ₹3499,(30% OFF),4.4,56 Ratings,"PRODUCT DESIGN DETAILS:
A pair of black & red logo printed detail round toe sports shoes with regular styling has a lace up closure
Synthetic upper
Cushioned footbed
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Lightweight TPU outsole
Low boot.Laces
FG/AG: Firm ground/Artificial ground
Warranty: 3 months
Warranty provided by the manufacturer
PRODUCT STORY:

A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,,,Medium,,Medium,Outdoor,2,,3 months,
Puma,Kids TRUCO III Youth Indoor Sports Shoes,₹2799,MRP ₹3499,(20% OFF),4.4,78 Ratings,"PRODUCT DESIGN DETAILS:
A pair of blue,green and black self design with brand logo printed details round toe sports shoes with regular styling has a lace up closure
Synthetic upper
Cushioned footbed
Non-marking rubber outsole
Heel type: Flat
Heel-to-toe-drop: 0 mm
Regular tongue construction
PUMA Archive No. 1 Label on tongue
PUMA Formstrip on medial and lateral sides
Warranty: 3 Months
Warranty provided by brand/manufacturer
PRODUCT STORY:

Futsal is intense, and the TRUCO IIIs are ready for all the intense action. TheTRUCO III Youth Indoor Sports Shoes is perfect for soon-to-be stars",Training or Gym,Synthetic,Lace-Ups,Regular,Non-Marking,No Cleats,,,Low,,,Outdoor,2,,3 months,
Puma,Unisex Kids Black Monarch II FG/AG Football Shoes,₹2799,MRP ₹3499,(20% OFF),4.4,39 Ratings,"Design Details:
A pair of black shoes, has regular Styling, lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Low boot
Regular fit
Soft yet durable synthetic leather
Lightweight TPU outsole with conical studs
FG/AG: Firm Ground/Artificial Ground
Regular tongue construction fits various foot shapes
Classical deco stitch pattern on vamp
PUMA Cat Logo on tongue and outsole
PUMA Formstrip on lateral side
Warranty: 3 months
Warranty provided by brand/manufacturer
About Monarch II FG/AG Jr Youth Football Shoes: A low-maintenance football boot is something every parent wants. A stylish and comfortable football boot is something every young player wants. These boots will please everyone. Combining comfort and longevity, they use soft yet highly durable synthetic leather. Their classic design has a retro-cool deco stitch pattern in the vamp, something that connects these boots to the legendary PUMA King.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,Long Distance,Long,All-Rounder,,,3 months,
Puma,Kids ATTACANTO TT Youth Football Boots,₹2249,MRP ₹2999,(25% OFF),4.7,58 Ratings,"PRODUCT DESIGN DETAILS:
Type : football shoes
Main materials: synthetic
Product color: green
Fastening: lace-up
Synthetic upper
Heel type: flat
Shoe width: regular fit
Shoe pronation: neutral
Heel-to-toe-drop: 0 mm
Low-profile multi-studded rubber outsole
Suitable for use on hard natural surfaces and synthetic grass
Low boot, laces
Synthetic upper with soft lining that shapes to the foot
Warranty: 3 months
Warranty provided by brand/manufacturer
PRODUCT STORY :
A simple, no-nonsense boot built to meet your demands on the pitch, the attacanto is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease.",Football,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,,Medium,Turf Trainer,2,,3 months,
